#========================================================================================
#                     Free energy perturbation    
#----------------------------------------------------------------------------------------
#forward/backward          λ              ΔΔA                 ΔA                  δε   
#                                                 
#----------------------------------------------------------------------------------------
forward:               0.0000              0.0000              0.0000              0.0000  
forward:               0.0500              1.0338              1.0338              0.0206  
forward:               0.1000              0.5890              1.6228              0.0258  
forward:               0.1500              0.3130              1.9357              0.0273  
forward:               0.2000              0.1585              2.0942              0.0282  
forward:               0.2500              0.0800              2.1742              0.0287  
forward:               0.3000              0.0346              2.2088              0.0293  
forward:               0.3500              0.0012              2.2099              0.0297  
forward:               0.4000             -0.0165              2.1934              0.0300  
forward:               0.4500             -0.0322              2.1612              0.0303  
forward:               0.5000             -0.0507              2.1105              0.0306  
forward:               0.5500             -0.1275              1.9830              0.0310  
forward:               0.6000             -0.2917              1.6913              0.0315  
forward:               0.6500             -0.4250              1.2663              0.0320  
forward:               0.7000             -0.5323              0.7341              0.0324  
forward:               0.7500             -0.6241              0.1100              0.0329  
forward:               0.8000             -0.6765             -0.5665              0.0332  
forward:               0.8500             -0.7009             -1.2674              0.0336  
forward:               0.9000             -0.7049             -1.9723              0.0337  
forward:               0.9500             -0.6865             -2.6588              0.0339  
forward:               1.0000             -0.6607             -3.3195              0.0342  
backward:              1.0000              0.0000             -3.3195              0.0000  
backward:              0.9500              0.6709             -2.6486              0.0055  
backward:              0.9000              0.6838             -1.9648              0.0082  
backward:              0.8500              0.6854             -1.2794              0.0159  
backward:              0.8000              0.6939             -0.5855              0.0168  
backward:              0.7500              0.6916              0.1060              0.0176  
backward:              0.7000              0.6346              0.7407              0.0238  
backward:              0.6500              0.5749              1.3156              0.0248  
