#========================================================================================
#                     Free energy perturbation    
#----------------------------------------------------------------------------------------
#forward/backward          λ              ΔΔA                 ΔA                  δε   
#                                                 
#----------------------------------------------------------------------------------------
forward:               0.0000              0.0000              0.0000              0.0000  
forward:               0.0500              1.2864              1.2864              0.0184  
forward:               0.1000              0.7098              1.9962              0.0223  
forward:               0.1500              0.4094              2.4056              0.0247  
forward:               0.2000              0.2396              2.6451              0.0269  
forward:               0.2500              0.1486              2.7938              0.0276  
forward:               0.3000              0.0951              2.8889              0.0285  
forward:               0.3500              0.0550              2.9438              0.0289  
forward:               0.4000              0.0187              2.9626              0.0294  
forward:               0.4500             -0.0071              2.9555              0.0297  
forward:               0.5000             -0.0348              2.9207              0.0300  
forward:               0.5500             -0.0568              2.8639              0.0304  
forward:               0.6000             -0.1148              2.7491              0.0307  
forward:               0.6500             -0.1500              2.5991              0.0310  
forward:               0.7000             -0.1915              2.4076              0.0312  
forward:               0.7500             -0.2226              2.1850              0.0314  
forward:               0.8000             -0.2568              1.9282              0.0316  
forward:               0.8500             -0.2704              1.6577              0.0318  
forward:               0.9000             -0.2952              1.3626              0.0320  
forward:               0.9500             -0.3071              1.0555              0.0322  
forward:               1.0000             -0.3223              0.7331              0.0324  
backward:              1.0000              0.0000              0.7331              0.0000  
backward:              0.9500              0.3363              1.0694              0.0043  
backward:              0.9000              0.3118              1.3812              0.0068  
backward:              0.8500              0.3029              1.6842              0.0089  
backward:              0.8000              0.2915              1.9757              0.0119  
