#========================================================================================
#                     Free energy perturbation    
#----------------------------------------------------------------------------------------
#forward/backward          λ              ΔΔA                 ΔA                  δε   
#                                                 
#----------------------------------------------------------------------------------------
forward:               0.0000              0.0000              0.0000              0.0000  
forward:               0.0500              0.2988              0.2988              0.0078  
forward:               0.1000              0.2199              0.5187              0.0096  
forward:               0.1500              0.1829              0.7016              0.0108  
forward:               0.2000              0.1588              0.8604              0.0116  
forward:               0.2500              0.1373              0.9977              0.0121  
forward:               0.3000              0.1197              1.1174              0.0129  
forward:               0.3500              0.1190              1.2364              0.0133  
forward:               0.4000              0.0964              1.3329              0.0137  
forward:               0.4500              0.0901              1.4230              0.0141  
forward:               0.5000              0.0851              1.5081              0.0144  
forward:               0.5500              0.0442              1.5522              0.0149  
forward:               0.6000             -0.0033              1.5489              0.0152  
forward:               0.6500             -0.0484              1.5005              0.0157  
forward:               0.7000             -0.0885              1.4121              0.0160  
forward:               0.7500             -0.1121              1.2999              0.0163  
forward:               0.8000             -0.1297              1.1702              0.0165  
forward:               0.8500             -0.1454              1.0248              0.0167  
forward:               0.9000             -0.1563              0.8685              0.0168  
forward:               0.9500             -0.1688              0.6997              0.0170  
forward:               1.0000             -0.1799              0.5199              0.0172  
backward:              1.0000              0.0000              0.5199              0.0000  
backward:              0.9500              0.1762              0.6961              0.0025  
backward:              0.9000              0.1638              0.8599              0.0041  
backward:              0.8500              0.1596              1.0195              0.0052  
backward:              0.8000              0.1444              1.1639              0.0058  
backward:              0.7500              0.1292              1.2931              0.0068  
backward:              0.7000              0.1071              1.4002              0.0078  
backward:              0.6500              0.0839              1.4840              0.0087  
backward:              0.6000              0.0512              1.5352              0.0093  
backward:              0.5500              0.0061              1.5413              0.0100  
backward:              0.5000             -0.0528              1.4885              0.0109  
backward:              0.4500             -0.0818              1.4067              0.0114  
backward:              0.4000             -0.0980              1.3087              0.0120  
backward:              0.3500             -0.0963              1.2124              0.0127  
backward:              0.3000             -0.1081              1.1043              0.0132  
